Datum,28daysSmoothened,daysOfTrend
2010-05-07,6164.035000000001,-4
2010-05-10,6159.587142857143,-5
2010-05-11,6155.45,-6
2010-05-12,6153.590357142857,0
2010-05-13,6154.176428571429,0
2010-05-14,6147.194285714286,-1
2010-05-17,6141.641071428571,-2
2010-05-18,6141.073214285714,-3
2010-05-19,6131.750714285714,-4
2010-05-20,6118.078928571428,-5
2010-05-21,6103.736785714286,-6
2010-05-24,6086.853928571429,-7
2010-05-25,6064.660714285715,-8
2010-05-26,6049.557857142857,-9
2010-05-27,6041.511428571429,-10
2010-05-28,6030.152500000001,-11
2010-05-31,6020.6507142857145,-12
2010-06-01,6013.956071428572,-13
2010-06-02,6004.015714285714,-14
2010-06-03,5994.106071428571,-15
2010-06-04,5986.226428571428,-16
2010-06-07,5979.819642857144,-17
2010-06-08,5969.949642857143,-18
2010-06-09,5964.558571428572,-19
2010-06-10,5960.618214285714,0
2010-06-11,5962.08142857143,1
2010-06-14,5968.029642857144,2
2010-06-15,5977.557857142857,3
2010-06-16,5994.551428571429,4
2010-06-17,6001.895357142857,5
2010-06-18,6008.297857142857,6
2010-06-21,6012.207857142857,7
2010-06-22,6012.8175,8
2010-06-23,6018.096428571428,9
2010-06-24,6019.830714285715,0
2010-06-25,6016.783214285715,0
2010-06-28,6022.802857142858,1
2010-06-29,6025.808214285715,2
2010-06-30,6030.675,3
2010-07-01,6032.523214285714,4
2010-07-02,6038.384285714286,5
2010-07-05,6040.462142857143,6
